Date,Confirmed,Deaths,Recovered,Active
2020-01-30,1,0,0,1
2020-01-31,1,0,0,1
2020-02-01,1,0,0,1
2020-02-02,2,0,0,2
2020-02-03,3,0,0,3
2020-02-04,3,0,0,3
2020-02-05,3,0,0,3
2020-02-06,3,0,0,3
2020-02-07,3,0,0,3
2020-02-08,3,0,0,3
2020-02-09,3,0,0,3
2020-02-10,3,0,0,3
2020-02-11,3,0,0,3
2020-02-12,3,0,0,3
2020-02-13,3,0,0,3
2020-02-14,3,0,0,3
2020-02-15,3,0,0,3
2020-02-16,3,0,3,0
2020-02-17,3,0,3,0
2020-02-18,3,0,3,0
2020-02-19,3,0,3,0
2020-02-20,3,0,3,0
2020-02-21,3,0,3,0
2020-02-22,3,0,3,0
2020-02-23,3,0,3,0
2020-02-24,3,0,3,0
2020-02-25,3,0,3,0
2020-02-26,3,0,3,0
2020-02-27,3,0,3,0
2020-02-28,3,0,3,0
2020-02-29,3,0,3,0
2020-03-01,3,0,3,0
2020-03-02,5,0,3,2
2020-03-03,5,0,3,2
2020-03-04,28,0,3,25
2020-03-05,30,0,3,27
2020-03-06,31,0,3,28
2020-03-07,34,0,3,31
2020-03-08,39,0,3,36
2020-03-09,43,0,3,40
2020-03-10,56,0,4,52
2020-03-11,62,1,4,57
2020-03-12,73,1,4,68
2020-03-13,82,2,4,76
2020-03-14,102,2,4,96
2020-03-15,113,2,13,98
2020-03-16,119,2,13,104
2020-03-17,142,3,14,125
2020-03-18,156,3,14,139
2020-03-19,194,4,15,175
2020-03-20,244,5,20,219
2020-03-21,330,4,23,303
2020-03-22,396,7,27,362
2020-03-23,499,10,27,462
2020-03-24,536,10,40,486
2020-03-25,657,12,43,602
2020-03-26,727,20,45,662
2020-03-27,887,20,73,794
2020-03-28,987,24,84,879
2020-03-29,1024,27,95,902
2020-03-30,1251,32,102,1117
2020-03-31,1397,35,123,1239
2020-04-01,1998,58,148,1792
2020-04-02,2543,72,191,2280
2020-04-03,2567,72,192,2303
2020-04-04,3082,86,229,2767
2020-04-05,3588,99,229,3260
2020-04-06,4778,136,375,4267
2020-04-07,5311,150,421,4740
2020-04-08,5916,178,506,5232
2020-04-09,6725,226,620,5879
2020-04-10,7598,246,774,6578
2020-04-11,8446,288,969,7189
2020-04-12,9205,331,1080,7794
2020-04-13,10453,358,1181,8914
2020-04-14,11487,393,1359,9735
2020-04-15,12322,405,1432,10485
2020-04-16,13430,448,1768,11214
2020-04-17,14352,486,2041,11825
2020-04-18,15722,521,2463,12738
2020-04-19,17615,559,2854,14202
2020-04-20,18539,592,3273,14674
2020-04-21,20080,645,3975,15460
